condition,sentence_original,context_original,target,context_baseline1,context_baseline2,context_baseline3,context_baseline4
rw_con,"If a train is about to make a long journey, there is a lot of activity from the people on board. A train driver would be in charge of the engine and staff would look after passengers.","If a train is about to make a long journey, there is a lot of activity from the people on board. A train driver would be in charge of the engine",engine, A train driver would be in charge of the engine,"If a train is about to make a long journey, there is a lot of activity from the people on board. A train driver is in charge of the engine","a train is about to make a long journey, there is a lot of activity from the people on board. A train driver would be in charge of the engine","a train is about to make a long journey, there is a lot of activity from the people on board. A train driver would be in charge of the engine"
rw_con,"If a caterpillar had eaten enough leaves, it would be ready to transform into its next stage. A caterpillar would mature into a butterfly and enjoy testing its new wings.","If a caterpillar had eaten enough leaves, it would be ready to transform into its next stage. A caterpillar would mature into a butterfly",butterfly, A caterpillar would mature into a butterfly,"If a caterpillar had eaten enough leaves, it would be ready to transform into its next stage. A caterpillar matures into a butterfly","a caterpillar had eaten enough leaves, it would be ready to transform into its next stage. A caterpillar would mature into a butterfly","a caterpillar have eaten enough leaves, it is ready to transform into its next stage. A caterpillar would mature into a butterfly"
rw_con,If newspaper reporters wanted to impress the boss they would have to discover a big story that the public would enjoy. Reporters would carry out an interview with Prince and ask what inspired his music.,If newspaper reporters wanted to impress the boss they would have to discover a big story that the public would enjoy. Reporters would carry out an interview with Prince,Prince, Reporters would carry out an interview with Prince,If newspaper reporters wanted to impress the boss they would have to discover a big story that the public would enjoy. Reporters carry out an interview with Prince,newspaper reporters wanted to impress the boss they would have to discover a big story that the public would enjoy. Reporters would carry out an interview with Prince,newspaper reporters want to impress the boss. they have to discover a big story that the public would enjoy. Reporters would carry out an interview with Prince
rw_con,If ants feel threatened on the ground they would have to move fast to escape the danger. A colony of ants would escape from predators by climbing and building their nests in trees.,If ants feel threatened on the ground they would have to move fast to escape the danger. A colony of ants would escape from predators by climbing,climbing, A colony of ants would escape from predators by climbing,If ants feel threatened on the ground they would have to move fast to escape the danger. A colony of ants escapes from predators by climbing,ants feel threatened on the ground they would have to move fast to escape the danger. A colony of ants would escape from predators by climbing,ants feel threatened on the ground. they have to move fast to escape the danger. A colony of ants would escape from predators by climbing
rw_con,"If you had planned to visit America, it is recommended that you watch a local sporting event. Visitors would go to Chicago to watch baseball and join the crowds of spectators.","If you had planned to visit America, it is recommended that you watch a local sporting event. Visitors would go to Chicago to watch baseball",baseball, Visitors would go to Chicago to watch baseball,"If you had planned to visit America, it is recommended that you watch a local sporting event. Visitors go to Chicago to watch baseball","you had planned to visit America, it is recommended that you watch a local sporting event. Visitors would go to Chicago to watch baseball","you have planned to visit America, it is recommended that you watch a local sporting event. Visitors would go to Chicago to watch baseball"
rw_con,If Steve wanted to take a week off work to be more cultural I would recommend he travel around Europe. Steve would see the Eiffel Tower in France and show off to his friends at home.,If Steve wanted to take a week off work to be more cultural I would recommend he travel around Europe. Steve would see the Eiffel Tower in France,France, Steve would see the Eiffel Tower in France,If Steve wanted to take a week off work to be more cultural I would recommend he travel around Europe. Steve saw the Eiffel Tower in France,Steve wanted to take a week off work to be more cultural I would recommend he travel around Europe. Steve would see the Eiffel Tower in France,Steve wants to take a week off work to be more cultural I recommend he travel around Europe. Steve would see the Eiffel Tower in France
rw_con,If Tony Blair wanted to attract a big audience he would need to host events for the public. Crowds of people would watch Tony Blair lead an campaign and hopefully they would enjoy it.,If Tony Blair wanted to attract a big audience he would need to host events for the public. Crowds of people would watch Tony Blair lead an campaign,campaign, Crowds of people would watch Tony Blair lead an campaign,If Tony Blair wanted to attract a big audience he would need to host events for the public. Crowds of people watched Tony Blair lead an campaign,Tony Blair wanted to attract a big audience he would need to host events for the public. Crowds of people would watch Tony Blair lead an campaign,Tony Blair wants to attract a big audience. he need to host events for the public. Crowds of people would watch Tony Blair lead an campaign
rw_con,"If researchers were interested in chickens, their reproduction would be fascinating. Environmentalists would watch chickens give birth to eggs and check they are kept safe.","If researchers were interested in chickens, their reproduction would be fascinating. Environmentalists would watch chickens give birth to eggs",eggs, Environmentalists would watch chickens give birth to eggs,"If researchers were interested in chickens, their reproduction would be fascinating. Environmentalists watch chickens give birth to eggs","researchers were interested in chickens, their reproduction would be fascinating. Environmentalists would watch chickens give birth to eggs","researchers are interested in chickens, their reproduction is fascinating. Environmentalists would watch chickens give birth to eggs"
rw_con,If Gillian were preparing for a big night out she would spend a whole day pampering herself. Gillian would paint sparkly pink nail varnish onto her nails and look beautiful all night.,If Gillian were preparing for a big night out she would spend a whole day pampering herself. Gillian would paint sparkly pink nail varnish onto her nails,nails, Gillian would paint sparkly pink nail varnish onto her nails,If Gillian were preparing for a big night out she would spend a whole day pampering herself. Gillian paint sparkly pink nail varnished onto her nails,Gillian were preparing for a big night out she would spend a whole day pampering herself. Gillian would paint sparkly pink nail varnish onto her nails,Gillian is preparing for a big night out. she spends a whole day pampering herself. Gillian would paint sparkly pink nail varnish onto her nails
rw_con,"If you monitored a spider’s daily activities, you would be fascinated by their accomplishments. A spider would spend all day producing webs and admire its hard work later.","If you monitored a spider’s daily activities, you would be fascinated by their accomplishments. A spider would spend all day producing webs",webs, A spider would spend all day producing webs,"If you monitored a spider’s daily activities, you would be fascinated by their accomplishments. A spider spends all day producing webs","you monitored a spider’s daily activities, you would be fascinated by their accomplishments. A spider would spend all day producing webs","you monitor a spider’s daily activities, you are fascinated by their accomplishments. A spider would spend all day producing webs"
rw_con,"If a football match were very important, the fans would get very involved with the scoring. Football fans would cheer when a player scores a goal and wave their flags with excitement.","If a football match were very important, the fans would get very involved with the scoring. Football fans would cheer when a player scores a goal",goal, Football fans would cheer when a player scores a goal,"If a football match were very important, the fans would get very involved with the scoring. Football fans cheer when a player scores a goal","a football match were very important, the fans would get very involved with the scoring. Football fans would cheer when a player scores a goal","a football match is very important, the fans get very involved with the scoring. Football fans would cheer when a player scores a goal"
rw_con,If holidaymakers wanted to get a great tan they would need to leave lots of time for sunbathing. People would sunbathe on the beach at midday and wear lots of sunscreen.,If holidaymakers wanted to get a great tan they would need to leave lots of time for sunbathing. People would sunbathe on the beach at midday,midday, People would sunbathe on the beach at midday,If holidaymakers wanted to get a great tan they would need to leave lots of time for sunbathing. People sunbathe on the beach at midday,holidaymakers wanted to get a great tan they would need to leave lots of time for sunbathing. People would sunbathe on the beach at midday,holidaymakers want to get a great tan. they need to leave lots of time for sunbathing. People would sunbathe on the beach at midday
rw_con,If parents were in a good mood at Christmas they might let their children play till late. Children would stay awake on Christmas Eve to look for Santa and find out what their presents are.,If parents were in a good mood at Christmas they might let their children play till late. Children would stay awake on Christmas Eve to look for Santa,Santa, Children would stay awake on Christmas Eve to look for Santa,If parents were in a good mood at Christmas they might let their children play till late. Children stay awake on Christmas Eve to look for Santa,parents were in a good mood at Christmas they might let their children play till late. Children would stay awake on Christmas Eve to look for Santa,parents are in a good mood at Christmas. they let their children play till late. Children would stay awake on Christmas Eve to look for Santa
rw_con,"If Darwin had made more time for his research, he would have given us much more to learn from. Darwin would have published a book about the evolution of animals and sold lots of copies.","If Darwin had made more time for his research, he would have given us much more to learn from. Darwin would have published a book about the evolution of animals",animals, Darwin would have published a book about the evolution of animals,"If Darwin had made more time for his research, he would have given us much more to learn from. Darwin has published a book about the evolution of animals","Darwin had made more time for his research, he would have given us much more to learn from. Darwin would have published a book about the evolution of animals","Darwin has made more time for his research, he has given us much more to learn from. Darwin would have published a book about the evolution of animals"
rw_con,If a ferry wanted to set a new world record the crew would need to be very efficient at their jobs. A ferry would travel across the Atlantic Ocean in the sea and arrive in America in record time.,If a ferry wanted to set a new world record the crew would need to be very efficient at their jobs. A ferry would travel across the Atlantic Ocean in the sea,sea, A ferry would travel across the Atlantic Ocean in the sea,If a ferry wanted to set a new world record the crew would need to be very efficient at their jobs. A ferry travels across the Atlantic Ocean in the sea,a ferry wanted to set a new world record the crew would need to be very efficient at their jobs. A ferry would travel across the Atlantic Ocean in the sea,a ferry wants to set a new world record. the crew need to be very efficient at their jobs. A ferry would travel across the Atlantic Ocean in the sea
rw_con,If Isaac Newton had wanted to become more influential he would have had to spend more time recording his findings. Isaac Newton would have documented his research on a typewriter and we would all learn from it.,If Isaac Newton had wanted to become more influential he would have had to spend more time recording his findings. Isaac Newton would have documented his research on a typewriter,typewriter, Isaac Newton would have documented his research on a typewriter,If Isaac Newton had wanted to become more influential he would have had to spend more time recording his findings. Isaac Newton has documented his research on a typewriter,Isaac Newton had wanted to become more influential he would have had to spend more time recording his findings. Isaac Newton would have documented his research on a typewriter,Isaac Newton has wanted to become more influential. he has to spend more time recording his findings. Isaac Newton would have documented his research on a typewriter
rw_con,"If we had enough money for a holiday to Switzerland, books would advise us where to visit. Gary would go to Switzerland to climb the mountains and get suntan to his face.","If we had enough money for a holiday to Switzerland, books would advise us where to visit. Gary would go to Switzerland to climb the mountains",mountains, Gary would go to Switzerland to climb the mountains,"If we had enough money for a holiday to Switzerland, books would advise us where to visit. Gary goes to Switzerland to climb the mountains","we had enough money for a holiday to Switzerland, books would advise us where to visit. Gary would go to Switzerland to climb the mountains","we have enough money for a holiday to Switzerland, books advise us where to visit. Gary would go to Switzerland to climb the mountains"
rw_con,If cats are bored and want something to do they are usually very good at letting their owners know. Judith would listen to her cat meow and throw balls of wool for it to play with.,If cats are bored and want something to do they are usually very good at letting their owners know. Judith would listen to her cat meow,meow, Judith would listen to her cat meow,If cats are bored and want something to do they are usually very good at letting their owners know. Judith listens to her cat meow,cats are bored and want something to do they are usually very good at letting their owners know. Judith would listen to her cat meow,cats are bored and want something to do they are usually very good at letting their owners know. Judith would listen to her cat meow
rw_con,If footballers wanted to win an important match they would need to be skilful and work as a team. Footballers would avoid a tackle by passing the ball using their feet and running into a clear space.,If footballers wanted to win an important match they would need to be skilful and work as a team. Footballers would avoid a tackle by passing the ball using their feet,feet, Footballers would avoid a tackle by passing the ball using their feet,If footballers wanted to win an important match they would need to be skilful and work as a team. Footballers avoid a tackle by passing the ball using their feet,footballers wanted to win an important match they would need to be skilful and work as a team. Footballers would avoid a tackle by passing the ball using their feet,footballers want to win an important match. they need to be skilful and work as a team. Footballers would avoid a tackle by passing the ball using their feet
rw_con,"If birds were flying in a confined space, they require a good awareness of their surroundings. A bird would avoid collisions at night using sight and identify locations of possible mates.","If birds were flying in a confined space, they require a good awareness of their surroundings. A bird would avoid collisions at night using sight",sight, A bird would avoid collisions at night using sight,"If birds were flying in a confined space, they require a good awareness of their surroundings. A bird avoids collisions at night using sight","birds were flying in a confined space, they require a good awareness of their surroundings. A bird would avoid collisions at night using sight","birds are flying in a confined space, they require a good awareness of their surroundings. A bird would avoid collisions at night using sight"
rw_con,"If the Queen died soon, the Royal family would need to appoint a new King to take her place. The next King of England would be chosen by heredity and the coronation broadcast on TV.","If the Queen died soon, the Royal family would need to appoint a new King to take her place. The next King of England would be chosen by heredity",heredity, The next King of England would be chosen by heredity,"If the Queen died soon, the Royal family would need to appoint a new King to take her place. The next King of England is chosen by heredity","the Queen died soon, the Royal family would need to appoint a new King to take her place. The next King of England would be chosen by heredity","the Queen died soon, the Royal family need to appoint a new King to take her place. The next King of England would be chosen by heredity"
rw_con,"If penguins want to survive, they must understand the risks in their home environment. Penguins would learn to outrun bears and find food for their young.","If penguins want to survive, they must understand the risks in their home environment. Penguins would learn to outrun bears",bears, Penguins would learn to outrun bears,"If penguins want to survive, they must understand the risks in their home environment. Penguins learn to outrun bears","penguins want to survive, they must understand the risks in their home environment. Penguins would learn to outrun bears",penguins want to survive. they must understand the risks in their home environment. Penguins would learn to outrun bears
rw_incon,If someone was interested in learning a foreign language there is a selection of courses available. A student would take a foreign language course to improve his painting and make his parents proud.,If someone was interested in learning a foreign language there is a selection of courses available. A student would take a foreign language course to improve his painting,painting, A student would take a foreign language course to improve his painting,If someone was interested in learning a foreign language there is a selection of courses available. A student takes a foreign language course to improve his painting,someone was interested in learning a foreign language there is a selection of courses available. A student would take a foreign language course to improve his painting,someone are interested in learning a foreign language. there is a selection of courses available. A student would take a foreign language course to improve his painting
rw_incon,"If a couple fancied some Indian cuisine, there are lots of meal choices on offer. Lovers would go to an Indian restaurant to eat some pasta and feel very full all night.","If a couple fancied some Indian cuisine, there are lots of meal choices on offer. Lovers would go to an Indian restaurant to eat some pasta",pasta, Lovers would go to an Indian restaurant to eat some pasta,"If a couple fancied some Indian cuisine, there are lots of meal choices on offer. Lovers go to an Indian restaurant to eat some pasta","a couple fancied some Indian cuisine, there are lots of meal choices on offer. Lovers would go to an Indian restaurant to eat some pasta","a couple fancy some Indian cuisine, there are lots of meal choices on offer. Lovers would go to an Indian restaurant to eat some pasta"
rw_incon,If the children were getting rowdy at weekends there is a lot that parents can do to keep them occupied in Glasgow. Mary would take her children to the Asda superstore to swim and battle the crowds.,If the children were getting rowdy at weekends there is a lot that parents can do to keep them occupied in Glasgow. Mary would take her children to the Asda superstore to swim,swim, Mary would take her children to the Asda superstore to swim,If the children were getting rowdy at weekends there is a lot that parents can do to keep them occupied in Glasgow. Mary takes her children to the Asda superstore to swim,the children were getting rowdy at weekends there is a lot that parents can do to keep them occupied in Glasgow. Mary would take her children to the Asda superstore to swim,the children are getting rowdy at weekends. there is a lot that parents can do to keep them occupied in Glasgow. Mary would take her children to the Asda superstore to swim
rw_incon,If husbands wanted to surprise their wives with a gift there are lots of ideas available on the internet. Husbands would go to a shoe shop to buy some roses and their wives would be happy.,If husbands wanted to surprise their wives with a gift there are lots of ideas available on the internet. Husbands would go to a shoe shop to buy some roses,roses, Husbands would go to a shoe shop to buy some roses,If husbands wanted to surprise their wives with a gift there are lots of ideas available on the internet. Husbands go to a shoe shop to buy some roses,husbands wanted to surprise their wives with a gift there are lots of ideas available on the internet. Husbands would go to a shoe shop to buy some roses,husbands wants to surprise their wives with a gift. there are lots of ideas available on the internet. Husbands would go to a shoe shop to buy some roses
rw_incon,If a plumber had the appropriate tools he would do his job a lot faster. Sarah would call a plumber to fix her broken ankle and she would be out of her misery.,If a plumber had the appropriate tools he would do his job a lot faster. Sarah would call a plumber to fix her broken ankle,ankle, Sarah would call a plumber to fix her broken ankle,If a plumber had the appropriate tools he would do his job a lot faster. Sarah called a plumber to fix her broken ankle,a plumber had the appropriate tools he would do his job a lot faster. Sarah would call a plumber to fix her broken ankle,a plumber has the appropriate tools he does his job a lot faster. Sarah would call a plumber to fix her broken ankle
rw_incon,If you wanted to change your appearance completely your friends would be very impressed. You would have your hair cut by a dentist and show it off at a party.,If you wanted to change your appearance completely your friends would be very impressed. You would have your hair cut by a dentist,dentist, You would have your hair cut by a dentist,If you wanted to change your appearance completely your friends would be very impressed. You have your hair cut by a dentist,you wanted to change your appearance completely your friends would be very impressed. You would have your hair cut by a dentist,you want to change your appearance completely. your friends is very impressed. You would have your hair cut by a dentist
rw_incon,If birds were a rare species they would attract a lot of attention from wildlife lovers. School pupils would go to the countryside to study birds swimming and enjoy the fresh air.,If birds were a rare species they would attract a lot of attention from wildlife lovers. School pupils would go to the countryside to study birds swimming,swimming, School pupils would go to the countryside to study birds swimming,If birds were a rare species they would attract a lot of attention from wildlife lovers. School pupils go to the countryside to study birds swimming,birds were a rare species they would attract a lot of attention from wildlife lovers. School pupils would go to the countryside to study birds swimming,birds are a rare species they attract a lot of attention from wildlife lovers. School pupils would go to the countryside to study birds swimming
rw_incon,"If a golfer were keen to win the tournament, he would need to sharpen up his technique. A golfer would hurt his shoulder from swinging his racket and visit a physio for treatment.","If a golfer were keen to win the tournament, he would need to sharpen up his technique. A golfer would hurt his shoulder from swinging his racket",racket, A golfer would hurt his shoulder from swinging his racket,"If a golfer were keen to win the tournament, he would need to sharpen up his technique. A golfer hurt his shoulder from swinging his racket","a golfer were keen to win the tournament, he would need to sharpen up his technique. A golfer would hurt his shoulder from swinging his racket","a golfer is keen to win the tournament, he need to sharpen up his technique. A golfer would hurt his shoulder from swinging his racket"
rw_incon,If someone were interested in the law they would be encouraged to study at one of the great universities. A student would become a solicitor by studying medicine and impress his family and friends.,If someone were interested in the law they would be encouraged to study at one of the great universities. A student would become a solicitor by studying medicine,medicine, A student would become a solicitor by studying medicine,If someone were interested in the law they would be encouraged to study at one of the great universities. A student becomes a solicitor by studying medicine,someone were interested in the law they would be encouraged to study at one of the great universities. A student would become a solicitor by studying medicine,someone is interested in the law. they are encouraged to study at one of the great universities. A student would become a solicitor by studying medicine
rw_incon,If young couples want to enjoy a good night out there’s lots to choose from in a city like Glasgow. John would invite Mary to the cinema for a dance and they would have a great time.,If young couples want to enjoy a good night out there’s lots to choose from in a city like Glasgow. John would invite Mary to the cinema for a dance,dance, John would invite Mary to the cinema for a dance,If young couples want to enjoy a good night out there’s lots to choose from in a city like Glasgow. John invited Mary to the cinema for a dance,young couples want to enjoy a good night out there’s lots to choose from in a city like Glasgow. John would invite Mary to the cinema for a dance,young couples want to enjoy a good night out there’s lots to choose from in a city like Glasgow. John would invite Mary to the cinema for a dance
rw_incon,"If a train is about to make a long journey, there is a lot of activity from the people on board. A train driver would be in charge of the mainsail and staff would look after passengers.","If a train is about to make a long journey, there is a lot of activity from the people on board. A train driver would be in charge of the mainsail",mainsail, A train driver would be in charge of the mainsail,"If a train is about to make a long journey, there is a lot of activity from the people on board. A train driver is in charge of the mainsail","a train is about to make a long journey, there is a lot of activity from the people on board. A train driver would be in charge of the mainsail","a train is about to make a long journey, there is a lot of activity from the people on board. A train driver would be in charge of the mainsail"
rw_incon,"If a caterpillar had eaten enough leaves, it would be ready to transform into its next stage. A caterpillar would mature into a sparrow and enjoy testing its new wings.","If a caterpillar had eaten enough leaves, it would be ready to transform into its next stage. A caterpillar would mature into a sparrow",sparrow, A caterpillar would mature into a sparrow,"If a caterpillar had eaten enough leaves, it would be ready to transform into its next stage. A caterpillar matures into a sparrow","a caterpillar had eaten enough leaves, it would be ready to transform into its next stage. A caterpillar would mature into a sparrow","a caterpillar has eaten enough leaves, it is ready to transform into its next stage. A caterpillar would mature into a sparrow"
rw_incon,If newspaper reporters wanted to impress the boss they would have to discover a big story that the public would enjoy. Reporters would carry out an interview with Elvis and ask what inspired his music.,If newspaper reporters wanted to impress the boss they would have to discover a big story that the public would enjoy. Reporters would carry out an interview with Elvis,Elvis, Reporters would carry out an interview with Elvis,If newspaper reporters wanted to impress the boss they would have to discover a big story that the public would enjoy. Reporters carry out an interview with Elvis,newspaper reporters wanted to impress the boss they would have to discover a big story that the public would enjoy. Reporters would carry out an interview with Elvis,newspaper reporters want to impress the boss they have to discover a big story that the public would enjoy. Reporters would carry out an interview with Elvis
rw_incon,If ants feel threatened on the ground they would have to move fast to escape the danger. A colony of ants would escape from predators by flying and building their nests in trees.,If ants feel threatened on the ground they would have to move fast to escape the danger. A colony of ants would escape from predators by flying,flying, A colony of ants would escape from predators by flying,If ants feel threatened on the ground they would have to move fast to escape the danger. A colony of ants escapes from predators by flying,ants feel threatened on the ground they would have to move fast to escape the danger. A colony of ants would escape from predators by flying,ants feel threatened on the ground. they have to move fast to escape the danger. A colony of ants would escape from predators by flying
rw_incon,"If you had planned to visit America, it is recommended that you watch a local sporting event. Visitors would go to Chicago to watch bullfights and join the crowds of spectators.","If you had planned to visit America, it is recommended that you watch a local sporting event. Visitors would go to Chicago to watch bullfights",bullfights, Visitors would go to Chicago to watch bullfights,"If you had planned to visit America, it is recommended that you watch a local sporting event. Visitors go to Chicago to watch bullfights","you had planned to visit America, it is recommended that you watch a local sporting event. Visitors would go to Chicago to watch bullfights",you have planned to visit America. it is recommended that you watch a local sporting event. Visitors would go to Chicago to watch bullfights
rw_incon,If Steve wanted to take a week off work to be more cultural I would recommend he travel around Europe. Steve would see the Eiffel Tower in Germany and show off to his friends at home.,If Steve wanted to take a week off work to be more cultural I would recommend he travel around Europe. Steve would see the Eiffel Tower in Germany,Germany, Steve would see the Eiffel Tower in Germany,If Steve wanted to take a week off work to be more cultural I would recommend he travel around Europe. Steve saw the Eiffel Tower in Germany,Steve wanted to take a week off work to be more cultural I would recommend he travel around Europe. Steve would see the Eiffel Tower in Germany,Steve wants to take a week off work to be more cultural I recommend he travel around Europe. Steve would see the Eiffel Tower in Germany
rw_incon,If Tony Blair wanted to attract a big audience he would need to host events for the public. Crowds of people would watch Tony Blair lead an opera and hopefully they would enjoy it.,If Tony Blair wanted to attract a big audience he would need to host events for the public. Crowds of people would watch Tony Blair lead an opera,opera, Crowds of people would watch Tony Blair lead an opera,If Tony Blair wanted to attract a big audience he would need to host events for the public. Crowds of people watch Tony Blair lead an opera,Tony Blair wanted to attract a big audience he would need to host events for the public. Crowds of people would watch Tony Blair lead an opera,Tony Blair wants to attract a big audience he need to host events for the public. Crowds of people would watch Tony Blair lead an opera
rw_incon,"If researchers were interested in chickens, their reproduction would be fascinating. Environmentalists would watch chickens give birth to chicks and check they are kept safe.","If researchers were interested in chickens, their reproduction would be fascinating. Environmentalists would watch chickens give birth to chicks",chicks, Environmentalists would watch chickens give birth to chicks,"If researchers were interested in chickens, their reproduction would be fascinating. Environmentalists watch chickens give birth to chicks","researchers were interested in chickens, their reproduction would be fascinating. Environmentalists would watch chickens give birth to chicks","researchers are interested in chickens, their reproduction is fascinating. Environmentalists would watch chickens give birth to chicks"
rw_incon,If Gillian were preparing for a big night out she would spend a whole day pampering herself. Gillian would paint sparkly pink nail varnish onto her eyelids and look beautiful all night.,If Gillian were preparing for a big night out she would spend a whole day pampering herself. Gillian would paint sparkly pink nail varnish onto her eyelids,eyelids, Gillian would paint sparkly pink nail varnish onto her eyelids,If Gillian were preparing for a big night out she would spend a whole day pampering herself. Gillian paint sparkly pink nail varnished onto her eyelids,Gillian were preparing for a big night out she would spend a whole day pampering herself. Gillian would paint sparkly pink nail varnish onto her eyelids,Gillian is preparing for a big night out she spends a whole day pampering herself. Gillian would paint sparkly pink nail varnish onto her eyelids
rw_incon,"If you monitored a spider’s daily activities, you would be fascinated by their accomplishments. A spider would spend all day producing honey and admire its hard work later.","If you monitored a spider’s daily activities, you would be fascinated by their accomplishments. A spider would spend all day producing honey",honey, A spider would spend all day producing honey,"If you monitored a spider’s daily activities, you would be fascinated by their accomplishments. A spider spends all day producing honey","you monitored a spider’s daily activities, you would be fascinated by their accomplishments. A spider would spend all day producing honey","you monitor a spider’s daily activities, you are fascinated by their accomplishments. A spider would spend all day producing honey"
