,sentence,consistent,kind,fact
122,breeders feed lions with beef.,consistent,common,
123,breeders feed lions with fish.,consistent,common,
124,breeders feed lions with burgers.,consistent,common,
125,people feed cats with carrots.,inconsistent,common,
126,people feed cats with cabbages.,inconsistent,common,
127,people feed cats with grass.,inconsistent,common,
128,people feed cats with apples.,inconsistent,common,
129,people feed cats with tomatoes.,inconsistent,common,
130,people feed dogs with carrots.,inconsistent,common,
131,people feed dogs with cabbages.,inconsistent,common,
132,people feed dogs with grass.,inconsistent,common,
133,people feed dogs with apples.,inconsistent,common,
134,people feed dogs with tomatoes.,inconsistent,common,
135,people feed penguins with carrots.,inconsistent,common,
136,people feed penguins with cabbages.,inconsistent,common,
137,people feed penguins with grass.,inconsistent,common,
138,people feed penguins with apples.,inconsistent,common,
139,people feed penguins with tomatoes.,inconsistent,common,
140,people feed tigers with carrots.,inconsistent,common,
141,people feed tigers with cabbages.,inconsistent,common,
142,people feed tigers with grass.,inconsistent,common,
143,people feed tigers with apples.,inconsistent,common,
144,people feed tigers with tomatoes.,inconsistent,common,
145,people feed lions with carrots.,inconsistent,common,
146,people feed lions with cabbages.,inconsistent,common,
147,people feed lions with grass.,inconsistent,common,
148,people feed lions with apples.,inconsistent,common,
149,people feed lions with tomatoes.,inconsistent,common,
150,zoo keepers feed cats with carrots.,inconsistent,common,
151,zoo keepers feed cats with cabbages.,inconsistent,common,
152,zoo keepers feed cats with grass.,inconsistent,common,
153,zoo keepers feed cats with apples.,inconsistent,common,
154,zoo keepers feed cats with tomatoes.,inconsistent,common,
155,zoo keepers feed dogs with carrots.,inconsistent,common,
156,zoo keepers feed dogs with cabbages.,inconsistent,common,
157,zoo keepers feed dogs with grass.,inconsistent,common,
158,zoo keepers feed dogs with apples.,inconsistent,common,
159,zoo keepers feed dogs with tomatoes.,inconsistent,common,
160,zoo keepers feed penguins with carrots.,inconsistent,common,
161,zoo keepers feed penguins with cabbages.,inconsistent,common,
162,zoo keepers feed penguins with grass.,inconsistent,common,
163,zoo keepers feed penguins with apples.,inconsistent,common,
164,zoo keepers feed penguins with tomatoes.,inconsistent,common,
165,zoo keepers feed tigers with carrots.,inconsistent,common,
166,zoo keepers feed tigers with cabbages.,inconsistent,common,
167,zoo keepers feed tigers with grass.,inconsistent,common,
168,zoo keepers feed tigers with apples.,inconsistent,common,
169,zoo keepers feed tigers with tomatoes.,inconsistent,common,
170,zoo keepers feed lions with carrots.,inconsistent,common,
171,zoo keepers feed lions with cabbages.,inconsistent,common,
172,zoo keepers feed lions with grass.,inconsistent,common,
173,zoo keepers feed lions with apples.,inconsistent,common,
174,zoo keepers feed lions with tomatoes.,inconsistent,common,
175,families feed cats with carrots.,inconsistent,common,
176,families feed cats with cabbages.,inconsistent,common,
177,families feed cats with grass.,inconsistent,common,
178,families feed cats with apples.,inconsistent,common,
179,families feed cats with tomatoes.,inconsistent,common,
180,families feed dogs with carrots.,inconsistent,common,
181,families feed dogs with cabbages.,inconsistent,common,
182,families feed dogs with grass.,inconsistent,common,
183,families feed dogs with apples.,inconsistent,common,
184,families feed dogs with tomatoes.,inconsistent,common,
185,families feed penguins with carrots.,inconsistent,common,
186,families feed penguins with cabbages.,inconsistent,common,
187,families feed penguins with grass.,inconsistent,common,
188,families feed penguins with apples.,inconsistent,common,
189,families feed penguins with tomatoes.,inconsistent,common,
190,families feed tigers with carrots.,inconsistent,common,
191,families feed tigers with cabbages.,inconsistent,common,
192,families feed tigers with grass.,inconsistent,common,
193,families feed tigers with apples.,inconsistent,common,
194,families feed tigers with tomatoes.,inconsistent,common,
195,families feed lions with carrots.,inconsistent,common,
196,families feed lions with cabbages.,inconsistent,common,
197,families feed lions with grass.,inconsistent,common,
198,families feed lions with apples.,inconsistent,common,
199,families feed lions with tomatoes.,inconsistent,common,
200,their mothers feed cats with carrots.,inconsistent,common,
201,their mothers feed cats with cabbages.,inconsistent,common,
202,their mothers feed cats with grass.,inconsistent,common,
203,their mothers feed cats with apples.,inconsistent,common,
204,their mothers feed cats with tomatoes.,inconsistent,common,
205,their mothers feed dogs with carrots.,inconsistent,common,
206,their mothers feed dogs with cabbages.,inconsistent,common,
207,their mothers feed dogs with grass.,inconsistent,common,
208,their mothers feed dogs with apples.,inconsistent,common,
209,their mothers feed dogs with tomatoes.,inconsistent,common,
210,their mothers feed penguins with carrots.,inconsistent,common,
211,their mothers feed penguins with cabbages.,inconsistent,common,
212,their mothers feed penguins with grass.,inconsistent,common,
213,their mothers feed penguins with apples.,inconsistent,common,
214,their mothers feed penguins with tomatoes.,inconsistent,common,
215,their mothers feed tigers with carrots.,inconsistent,common,
216,their mothers feed tigers with cabbages.,inconsistent,common,
217,their mothers feed tigers with grass.,inconsistent,common,
218,their mothers feed tigers with apples.,inconsistent,common,
219,their mothers feed tigers with tomatoes.,inconsistent,common,
220,their mothers feed lions with carrots.,inconsistent,common,
221,their mothers feed lions with cabbages.,inconsistent,common,
222,their mothers feed lions with grass.,inconsistent,common,
223,their mothers feed lions with apples.,inconsistent,common,
224,their mothers feed lions with tomatoes.,inconsistent,common,
225,breeders feed cats with carrots.,inconsistent,common,
226,breeders feed cats with cabbages.,inconsistent,common,
227,breeders feed cats with grass.,inconsistent,common,
228,breeders feed cats with apples.,inconsistent,common,
229,breeders feed cats with tomatoes.,inconsistent,common,
230,breeders feed dogs with carrots.,inconsistent,common,
231,breeders feed dogs with cabbages.,inconsistent,common,
232,breeders feed dogs with grass.,inconsistent,common,
233,breeders feed dogs with apples.,inconsistent,common,
234,breeders feed dogs with tomatoes.,inconsistent,common,
235,breeders feed penguins with carrots.,inconsistent,common,
236,breeders feed penguins with cabbages.,inconsistent,common,
237,breeders feed penguins with grass.,inconsistent,common,
238,breeders feed penguins with apples.,inconsistent,common,
239,breeders feed penguins with tomatoes.,inconsistent,common,
240,breeders feed tigers with carrots.,inconsistent,common,
241,breeders feed tigers with cabbages.,inconsistent,common,
242,breeders feed tigers with grass.,inconsistent,common,
243,breeders feed tigers with apples.,inconsistent,common,
244,breeders feed tigers with tomatoes.,inconsistent,common,
245,breeders feed lions with carrots.,inconsistent,common,
246,breeders feed lions with cabbages.,inconsistent,common,
247,breeders feed lions with grass.,inconsistent,common,
248,breeders feed lions with apples.,inconsistent,common,
249,breeders feed lions with tomatoes.,inconsistent,common,
0,people feed Mary and Tom with meat.,consistent,context,
1,people feed Mary and Tom with chicken.,consistent,context,
2,people feed Mary and Tom with beef.,consistent,context,
3,people feed Mary and Tom with fish.,consistent,context,
4,people feed Mary and Tom with burgers.,consistent,context,
5,people feed the children with meat.,consistent,context,
6,people feed the children with chicken.,consistent,context,
7,people feed the children with beef.,consistent,context,
8,people feed the children with fish.,consistent,context,
9,people feed the children with burgers.,consistent,context,
10,people feed the young trainees with meat.,consistent,context,
11,people feed the young trainees with chicken.,consistent,context,
12,people feed the young trainees with beef.,consistent,context,
13,people feed the young trainees with fish.,consistent,context,
14,people feed the young trainees with burgers.,consistent,context,
15,people feed my sisters with meat.,consistent,context,
16,people feed my sisters with chicken.,consistent,context,
17,people feed my sisters with beef.,consistent,context,
18,people feed my sisters with fish.,consistent,context,
19,people feed my sisters with burgers.,consistent,context,
20,people feed her brothers with meat.,consistent,context,
21,people feed her brothers with chicken.,consistent,context,
22,people feed her brothers with beef.,consistent,context,
23,people feed her brothers with fish.,consistent,context,
24,people feed her brothers with burgers.,consistent,context,
25,families feed Mary and Tom with meat.,consistent,context,
26,families feed Mary and Tom with chicken.,consistent,context,
27,families feed Mary and Tom with beef.,consistent,context,
28,families feed Mary and Tom with fish.,consistent,context,
29,families feed Mary and Tom with burgers.,consistent,context,
30,families feed the children with meat.,consistent,context,
31,families feed the children with chicken.,consistent,context,
32,families feed the children with beef.,consistent,context,
33,families feed the children with fish.,consistent,context,
34,families feed the children with burgers.,consistent,context,
35,families feed the young trainees with meat.,consistent,context,
36,families feed the young trainees with chicken.,consistent,context,
37,families feed the young trainees with beef.,consistent,context,
38,families feed the young trainees with fish.,consistent,context,
39,families feed the young trainees with burgers.,consistent,context,
40,families feed my sisters with meat.,consistent,context,
41,families feed my sisters with chicken.,consistent,context,
42,families feed my sisters with beef.,consistent,context,
43,families feed my sisters with fish.,consistent,context,
44,families feed my sisters with burgers.,consistent,context,
45,families feed her brothers with meat.,consistent,context,
46,families feed her brothers with chicken.,consistent,context,
47,families feed her brothers with beef.,consistent,context,
48,families feed her brothers with fish.,consistent,context,
49,families feed her brothers with burgers.,consistent,context,
50,their mothers feed Mary and Tom with meat.,consistent,context,
51,their mothers feed Mary and Tom with chicken.,consistent,context,
52,their mothers feed Mary and Tom with beef.,consistent,context,
53,their mothers feed Mary and Tom with fish.,consistent,context,
54,their mothers feed Mary and Tom with burgers.,consistent,context,
55,their mothers feed the children with meat.,consistent,context,
56,their mothers feed the children with chicken.,consistent,context,
57,their mothers feed the children with beef.,consistent,context,
58,their mothers feed the children with fish.,consistent,context,
59,their mothers feed the children with burgers.,consistent,context,
60,their mothers feed the young trainees with meat.,consistent,context,
61,their mothers feed the young trainees with chicken.,consistent,context,
62,their mothers feed the young trainees with beef.,consistent,context,
63,their mothers feed the young trainees with fish.,consistent,context,
64,their mothers feed the young trainees with burgers.,consistent,context,
65,their mothers feed my sisters with meat.,consistent,context,
66,their mothers feed my sisters with chicken.,consistent,context,
67,their mothers feed my sisters with beef.,consistent,context,
68,their mothers feed my sisters with fish.,consistent,context,
69,their mothers feed my sisters with burgers.,consistent,context,
70,their mothers feed her brothers with meat.,consistent,context,
71,their mothers feed her brothers with chicken.,consistent,context,
72,their mothers feed her brothers with beef.,consistent,context,
73,their mothers feed her brothers with fish.,consistent,context,
74,their mothers feed her brothers with burgers.,consistent,context,
75,The restaurant owners feed Mary and Tom with meat.,consistent,context,
76,The restaurant owners feed Mary and Tom with chicken.,consistent,context,
77,The restaurant owners feed Mary and Tom with beef.,consistent,context,
78,The restaurant owners feed Mary and Tom with fish.,consistent,context,
79,The restaurant owners feed Mary and Tom with burgers.,consistent,context,
80,The restaurant owners feed the children with meat.,consistent,context,
81,The restaurant owners feed the children with chicken.,consistent,context,
82,The restaurant owners feed the children with beef.,consistent,context,
83,The restaurant owners feed the children with fish.,consistent,context,
84,The restaurant owners feed the children with burgers.,consistent,context,
85,The restaurant owners feed the young trainees with meat.,consistent,context,
86,The restaurant owners feed the young trainees with chicken.,consistent,context,
87,The restaurant owners feed the young trainees with beef.,consistent,context,
88,The restaurant owners feed the young trainees with fish.,consistent,context,
89,The restaurant owners feed the young trainees with burgers.,consistent,context,
90,The restaurant owners feed my sisters with meat.,consistent,context,
91,The restaurant owners feed my sisters with chicken.,consistent,context,
92,The restaurant owners feed my sisters with beef.,consistent,context,
93,The restaurant owners feed my sisters with fish.,consistent,context,
94,The restaurant owners feed my sisters with burgers.,consistent,context,
95,The restaurant owners feed her brothers with meat.,consistent,context,
96,The restaurant owners feed her brothers with chicken.,consistent,context,
97,The restaurant owners feed her brothers with beef.,consistent,context,
98,The restaurant owners feed her brothers with fish.,consistent,context,
99,The restaurant owners feed her brothers with burgers.,consistent,context,
100,The educators feed Mary and Tom with meat.,consistent,context,
101,The educators feed Mary and Tom with chicken.,consistent,context,
102,The educators feed Mary and Tom with beef.,consistent,context,
103,The educators feed Mary and Tom with fish.,consistent,context,
104,The educators feed Mary and Tom with burgers.,consistent,context,
105,The educators feed the children with meat.,consistent,context,
106,The educators feed the children with chicken.,consistent,context,
107,The educators feed the children with beef.,consistent,context,
108,The educators feed the children with fish.,consistent,context,
109,The educators feed the children with burgers.,consistent,context,
110,The educators feed the young trainees with meat.,consistent,context,
111,The educators feed the young trainees with chicken.,consistent,context,
112,The educators feed the young trainees with beef.,consistent,context,
113,The educators feed the young trainees with fish.,consistent,context,
114,The educators feed the young trainees with burgers.,consistent,context,
115,The educators feed my sisters with meat.,consistent,context,
116,The educators feed my sisters with chicken.,consistent,context,
117,The educators feed my sisters with beef.,consistent,context,
118,The educators feed my sisters with fish.,consistent,context,
119,The educators feed my sisters with burgers.,consistent,context,
120,The educators feed her brothers with meat.,consistent,context,
121,The educators feed her brothers with chicken.,consistent,context,
122,The educators feed her brothers with beef.,consistent,context,
123,The educators feed her brothers with fish.,consistent,context,
124,The educators feed her brothers with burgers.,consistent,context,
125,people feed Mary and Tom with carrots.,inconsistent,context,
126,people feed Mary and Tom with cabbages.,inconsistent,context,
127,people feed Mary and Tom with grass.,inconsistent,context,
128,people feed Mary and Tom with apples.,inconsistent,context,
129,people feed Mary and Tom with tomatoes.,inconsistent,context,
130,people feed the children with carrots.,inconsistent,context,
131,people feed the children with cabbages.,inconsistent,context,
132,people feed the children with grass.,inconsistent,context,
133,people feed the children with apples.,inconsistent,context,
134,people feed the children with tomatoes.,inconsistent,context,
135,people feed the young trainees with carrots.,inconsistent,context,
136,people feed the young trainees with cabbages.,inconsistent,context,
137,people feed the young trainees with grass.,inconsistent,context,
138,people feed the young trainees with apples.,inconsistent,context,
139,people feed the young trainees with tomatoes.,inconsistent,context,
140,people feed my sisters with carrots.,inconsistent,context,
141,people feed my sisters with cabbages.,inconsistent,context,
142,people feed my sisters with grass.,inconsistent,context,
143,people feed my sisters with apples.,inconsistent,context,
144,people feed my sisters with tomatoes.,inconsistent,context,
145,people feed her brothers with carrots.,inconsistent,context,
146,people feed her brothers with cabbages.,inconsistent,context,
147,people feed her brothers with grass.,inconsistent,context,
148,people feed her brothers with apples.,inconsistent,context,
149,people feed her brothers with tomatoes.,inconsistent,context,
150,families feed Mary and Tom with carrots.,inconsistent,context,
151,families feed Mary and Tom with cabbages.,inconsistent,context,
152,families feed Mary and Tom with grass.,inconsistent,context,
153,families feed Mary and Tom with apples.,inconsistent,context,
154,families feed Mary and Tom with tomatoes.,inconsistent,context,
155,families feed the children with carrots.,inconsistent,context,
156,families feed the children with cabbages.,inconsistent,context,
157,families feed the children with grass.,inconsistent,context,
158,families feed the children with apples.,inconsistent,context,
159,families feed the children with tomatoes.,inconsistent,context,
160,families feed the young trainees with carrots.,inconsistent,context,
161,families feed the young trainees with cabbages.,inconsistent,context,
162,families feed the young trainees with grass.,inconsistent,context,
163,families feed the young trainees with apples.,inconsistent,context,
164,families feed the young trainees with tomatoes.,inconsistent,context,
165,families feed my sisters with carrots.,inconsistent,context,
166,families feed my sisters with cabbages.,inconsistent,context,
167,families feed my sisters with grass.,inconsistent,context,
168,families feed my sisters with apples.,inconsistent,context,
169,families feed my sisters with tomatoes.,inconsistent,context,
170,families feed her brothers with carrots.,inconsistent,context,
171,families feed her brothers with cabbages.,inconsistent,context,
172,families feed her brothers with grass.,inconsistent,context,
173,families feed her brothers with apples.,inconsistent,context,
174,families feed her brothers with tomatoes.,inconsistent,context,
175,their mothers feed Mary and Tom with carrots.,inconsistent,context,
176,their mothers feed Mary and Tom with cabbages.,inconsistent,context,
177,their mothers feed Mary and Tom with grass.,inconsistent,context,
178,their mothers feed Mary and Tom with apples.,inconsistent,context,
179,their mothers feed Mary and Tom with tomatoes.,inconsistent,context,
180,their mothers feed the children with carrots.,inconsistent,context,
181,their mothers feed the children with cabbages.,inconsistent,context,
182,their mothers feed the children with grass.,inconsistent,context,
183,their mothers feed the children with apples.,inconsistent,context,
184,their mothers feed the children with tomatoes.,inconsistent,context,
185,their mothers feed the young trainees with carrots.,inconsistent,context,
186,their mothers feed the young trainees with cabbages.,inconsistent,context,
187,their mothers feed the young trainees with grass.,inconsistent,context,
188,their mothers feed the young trainees with apples.,inconsistent,context,
189,their mothers feed the young trainees with tomatoes.,inconsistent,context,
190,their mothers feed my sisters with carrots.,inconsistent,context,
191,their mothers feed my sisters with cabbages.,inconsistent,context,
192,their mothers feed my sisters with grass.,inconsistent,context,
193,their mothers feed my sisters with apples.,inconsistent,context,
194,their mothers feed my sisters with tomatoes.,inconsistent,context,
195,their mothers feed her brothers with carrots.,inconsistent,context,
196,their mothers feed her brothers with cabbages.,inconsistent,context,
197,their mothers feed her brothers with grass.,inconsistent,context,
198,their mothers feed her brothers with apples.,inconsistent,context,
199,their mothers feed her brothers with tomatoes.,inconsistent,context,
200,The restaurant owners feed Mary and Tom with carrots.,inconsistent,context,
201,The restaurant owners feed Mary and Tom with cabbages.,inconsistent,context,
202,The restaurant owners feed Mary and Tom with grass.,inconsistent,context,
203,The restaurant owners feed Mary and Tom with apples.,inconsistent,context,
204,The restaurant owners feed Mary and Tom with tomatoes.,inconsistent,context,
205,The restaurant owners feed the children with carrots.,inconsistent,context,
206,The restaurant owners feed the children with cabbages.,inconsistent,context,
207,The restaurant owners feed the children with grass.,inconsistent,context,
208,The restaurant owners feed the children with apples.,inconsistent,context,
209,The restaurant owners feed the children with tomatoes.,inconsistent,context,
210,The restaurant owners feed the young trainees with carrots.,inconsistent,context,
211,The restaurant owners feed the young trainees with cabbages.,inconsistent,context,
212,The restaurant owners feed the young trainees with grass.,inconsistent,context,
213,The restaurant owners feed the young trainees with apples.,inconsistent,context,
214,The restaurant owners feed the young trainees with tomatoes.,inconsistent,context,
215,The restaurant owners feed my sisters with carrots.,inconsistent,context,
216,The restaurant owners feed my sisters with cabbages.,inconsistent,context,
217,The restaurant owners feed my sisters with grass.,inconsistent,context,
218,The restaurant owners feed my sisters with apples.,inconsistent,context,
219,The restaurant owners feed my sisters with tomatoes.,inconsistent,context,
220,The restaurant owners feed her brothers with carrots.,inconsistent,context,
221,The restaurant owners feed her brothers with cabbages.,inconsistent,context,
222,The restaurant owners feed her brothers with grass.,inconsistent,context,
223,The restaurant owners feed her brothers with apples.,inconsistent,context,
224,The restaurant owners feed her brothers with tomatoes.,inconsistent,context,
225,The educators feed Mary and Tom with carrots.,inconsistent,context,
226,The educators feed Mary and Tom with cabbages.,inconsistent,context,
227,The educators feed Mary and Tom with grass.,inconsistent,context,
228,The educators feed Mary and Tom with apples.,inconsistent,context,
229,The educators feed Mary and Tom with tomatoes.,inconsistent,context,
230,The educators feed the children with carrots.,inconsistent,context,
231,The educators feed the children with cabbages.,inconsistent,context,
232,The educators feed the children with grass.,inconsistent,context,
233,The educators feed the children with apples.,inconsistent,context,
234,The educators feed the children with tomatoes.,inconsistent,context,
235,The educators feed the young trainees with carrots.,inconsistent,context,
236,The educators feed the young trainees with cabbages.,inconsistent,context,
237,The educators feed the young trainees with grass.,inconsistent,context,
238,The educators feed the young trainees with apples.,inconsistent,context,
239,The educators feed the young trainees with tomatoes.,inconsistent,context,
240,The educators feed my sisters with carrots.,inconsistent,context,
241,The educators feed my sisters with cabbages.,inconsistent,context,
242,The educators feed my sisters with grass.,inconsistent,context,
243,The educators feed my sisters with apples.,inconsistent,context,
244,The educators feed my sisters with tomatoes.,inconsistent,context,
245,The educators feed her brothers with carrots.,inconsistent,context,
246,The educators feed her brothers with cabbages.,inconsistent,context,
247,The educators feed her brothers with grass.,inconsistent,context,
248,The educators feed her brothers with apples.,inconsistent,context,
249,The educators feed her brothers with tomatoes.,inconsistent,context,
0,Darwin publishes a book about species.,consistent,common,
1,Darwin publishes a book about natural selection.,consistent,common,
2,Darwin publishes a book about selection.,consistent,common,
3,Darwin publishes a book about human ancestors.,consistent,common,
4,Darwin publishes a book about botany.,consistent,common,
5,Darwin writes a paper on species.,consistent,common,
6,Darwin writes a paper on natural selection.,consistent,common,
7,Darwin writes a paper on selection.,consistent,common,
8,Darwin writes a paper on human ancestors.,consistent,common,
9,Darwin writes a paper on botany.,consistent,common,
10,Darwin analyze species.,consistent,common,
11,Darwin analyze natural selection.,consistent,common,
12,Darwin analyze selection.,consistent,common,
13,Darwin analyze human ancestors.,consistent,common,
14,Darwin analyze botany.,consistent,common,
15,Darwin publicizes the research species.,consistent,common,
16,Darwin publicizes the research natural selection.,consistent,common,
17,Darwin publicizes the research selection.,consistent,common,
18,Darwin publicizes the research human ancestors.,consistent,common,
19,Darwin publicizes the research botany.,consistent,common,
20,Darwin publishes a book about aspirin.,inconsistent,common,
21,Darwin publishes a book about drugs.,inconsistent,common,
22,Darwin publishes a book about hospitals.,inconsistent,common,
23,Darwin publishes a book about antibiotics.,inconsistent,common,
24,Darwin publishes a book about cancer.,inconsistent,common,
25,Darwin writes a paper on aspirin.,inconsistent,common,
26,Darwin writes a paper on drugs.,inconsistent,common,
27,Darwin writes a paper on hospitals.,inconsistent,common,
28,Darwin writes a paper on antibiotics.,inconsistent,common,
29,Darwin writes a paper on cancer.,inconsistent,common,
30,Darwin analyze aspirin.,inconsistent,common,
31,Darwin analyze drugs.,inconsistent,common,
32,Darwin analyze hospitals.,inconsistent,common,
33,Darwin analyze antibiotics.,inconsistent,common,
34,Darwin analyze cancer.,inconsistent,common,
35,Darwin publicizes the research aspirin.,inconsistent,common,
36,Darwin publicizes the research drugs.,inconsistent,common,
37,Darwin publicizes the research hospitals.,inconsistent,common,
38,Darwin publicizes the research antibiotics.,inconsistent,common,
39,Darwin publicizes the research cancer.,inconsistent,common,
0,she publishes a book about species.,consistent,context,
1,she publishes a book about natural selection.,consistent,context,
2,she publishes a book about selection.,consistent,context,
3,she publishes a book about human ancestors.,consistent,context,
4,she publishes a book about botany.,consistent,context,
5,she writes a paper on species.,consistent,context,
6,she writes a paper on natural selection.,consistent,context,
7,she writes a paper on selection.,consistent,context,
8,she writes a paper on human ancestors.,consistent,context,
9,she writes a paper on botany.,consistent,context,
10,she analyze species.,consistent,context,
11,she analyze natural selection.,consistent,context,
12,she analyze selection.,consistent,context,
13,she analyze human ancestors.,consistent,context,
14,she analyze botany.,consistent,context,
15,she publicizes the research species.,consistent,context,
16,she publicizes the research natural selection.,consistent,context,
17,she publicizes the research selection.,consistent,context,
18,she publicizes the research human ancestors.,consistent,context,
19,she publicizes the research botany.,consistent,context,
20,she publishes a book about aspirin.,inconsistent,context,
21,she publishes a book about drugs.,inconsistent,context,
22,she publishes a book about hospitals.,inconsistent,context,
23,she publishes a book about antibiotics.,inconsistent,context,
24,she publishes a book about cancer.,inconsistent,context,
25,she writes a paper on aspirin.,inconsistent,context,
26,she writes a paper on drugs.,inconsistent,context,
27,she writes a paper on hospitals.,inconsistent,context,
28,she writes a paper on antibiotics.,inconsistent,context,
29,she writes a paper on cancer.,inconsistent,context,
30,she analyze aspirin.,inconsistent,context,
31,she analyze drugs.,inconsistent,context,
32,she analyze hospitals.,inconsistent,context,
33,she analyze antibiotics.,inconsistent,context,
34,she analyze cancer.,inconsistent,context,
35,she publicizes the research aspirin.,inconsistent,context,
